#                               L = 64
#================================================================
#x               y               Numerical       Analytical      
#================================================================
0               0               0               0               
0               0.015625        0               0               
0               0.03125         0               0               
0               0.046875        0               0               
0               0.0625          0               0               
0               0.078125        0               0               
0               0.09375         0               0               
0               0.109375        0               0               
0               0.125           0               0               
0               0.140625        0               0               
0               0.15625         0               0               
0               0.171875        0               0               
0               0.1875          0               0               
0               0.203125        0               0               
0               0.21875         0               0               
0               0.234375        0               0               
0               0.25            0               0               
0               0.265625        0               0               
0               0.28125         0               0               
0               0.296875        0               0               
0               0.3125          0               0               
0               0.328125        0               0               
0               0.34375         0               0               
0               0.359375        0               0               
0               0.375           0               0               
0               0.390625        0               0               
0               0.40625         0               0               
0               0.421875        0               0               
0               0.4375          0               0               
0               0.453125        0               0               
0               0.46875         0               0               
0               0.484375        0               0               
0               0.5             0               0               
0               0.515625        0               0               
0               0.53125         0               0               
0               0.546875        0               0               
0               0.5625          0               0               
0               0.578125        0               0               
0               0.59375         0               0               
0               0.609375        0               0               
0               0.625           0               0               
0               0.640625        0               0               
0               0.65625         0               0               
0               0.671875        0               0               
0               0.6875          0               0               
0               0.703125        0               0               
0               0.71875         0               0               
0               0.734375        0               0               
0               0.75            0               0               
0               0.765625        0               0               
0               0.78125         0               0               
0               0.796875        0               0               
0               0.8125          0               0               
0               0.828125        0               0               
0               0.84375         0               0               
0               0.859375        0               0               
0               0.875           0               0               
0               0.890625        0               0               
0               0.90625         0               0               
0               0.921875        0               0               
0               0.9375          0               0               
0               0.953125        0               0               
0               0.96875         0               0               
0               0.984375        0               0               
0               1               0               0               
0.015625        0               0               0               
0.015625        0.015625        0.000168907     0.000168806     
0.015625        0.03125         0.000338215     0.000338012     
0.015625        0.046875        0.000508326     0.000508021     
0.015625        0.0625          0.000679642     0.000679235     
0.015625        0.078125        0.000852569     0.000852061     
0.015625        0.09375         0.00102752      0.00102691      
0.015625        0.109375        0.0012049       0.00120419      
0.015625        0.125           0.00138513      0.00138432      
0.015625        0.140625        0.00156864      0.00156773      
0.015625        0.15625         0.00175586      0.00175484      
0.015625        0.171875        0.00194722      0.0019461       
0.015625        0.1875          0.00214317      0.00214196      
0.015625        0.203125        0.00234417      0.00234285      
0.015625        0.21875         0.00255068      0.00254926      
0.015625        0.234375        0.00276318      0.00276166      
0.015625        0.25            0.00298215      0.00298053      
0.015625        0.265625        0.00320808      0.00320637      
0.015625        0.28125         0.0034415       0.00343969      
0.015625        0.296875        0.00368293      0.00368102      
0.015625        0.3125          0.00393289      0.00393089      
0.015625        0.328125        0.00419194      0.00418985      
0.015625        0.34375         0.00446065      0.00445847      
0.015625        0.359375        0.00473958      0.00473732      
0.015625        0.375           0.00502935      0.005027        
0.015625        0.390625        0.00533054      0.00532812      
0.015625        0.40625         0.00564378      0.00564129      
0.015625        0.421875        0.0059697       0.00596715      
0.015625        0.4375          0.00630896      0.00630634      
0.015625        0.453125        0.00666219      0.00665952      
0.015625        0.46875         0.00703008      0.00702736      
0.015625        0.484375        0.00741329      0.00741053      
0.015625        0.5             0.0078125       0.00780972      
0.015625        0.515625        0.0082284       0.0082256       
0.015625        0.53125         0.00866167      0.00865886      
0.015625        0.546875        0.00911298      0.00911018      
0.015625        0.5625          0.00958302      0.00958023      
0.015625        0.578125        0.0100724       0.0100697       
0.015625        0.59375         0.0105819       0.0105792       
0.015625        0.609375        0.0111119       0.0111093       
0.015625        0.625           0.0116632       0.0116606       
0.015625        0.640625        0.0122362       0.0122337       
0.015625        0.65625         0.0128315       0.0128291       
0.015625        0.671875        0.0134495       0.0134472       
0.015625        0.6875          0.0140905       0.0140883       
0.015625        0.703125        0.0147548       0.0147528       
0.015625        0.71875         0.0154426       0.0154408       
0.015625        0.734375        0.0161541       0.0161524       
0.015625        0.75            0.0168891       0.0168876       
0.015625        0.765625        0.0176476       0.0176463       
0.015625        0.78125         0.0184292       0.0184281       
0.015625        0.796875        0.0192335       0.0192325       
0.015625        0.8125          0.0200599       0.0200591       
0.015625        0.828125        0.0209076       0.020907        
0.015625        0.84375         0.0217757       0.0217752       
0.015625        0.859375        0.0226631       0.0226627       
0.015625        0.875           0.0235684       0.0235682       
0.015625        0.890625        0.0244903       0.0244901       
0.015625        0.90625         0.025427        0.0254269       
0.015625        0.921875        0.0263768       0.0263767       
0.015625        0.9375          0.0273377       0.0273377       
0.015625        0.953125        0.0283077       0.0283077       
0.015625        0.96875         0.0292846       0.0292846       
0.015625        0.984375        0.0302661       0.0302661       
0.015625        1               0.03125         0.0312539       
0.03125         0               0               0               
0.03125         0.015625        0.000337414     0.00033721      
0.03125         0.03125         0.000675628     0.000675222     
0.03125         0.046875        0.00101545      0.00101484      
0.03125         0.0625          0.00135767      0.00135686      
0.03125         0.078125        0.00170312      0.0017021       
0.03125         0.09375         0.0020526       0.00205138      
0.03125         0.109375        0.00240695      0.00240552      
0.03125         0.125           0.00276699      0.00276536      
0.03125         0.140625        0.00313358      0.00313175      
0.03125         0.15625         0.00350758      0.00350554      
0.03125         0.171875        0.00388985      0.00388762      
0.03125         0.1875          0.0042813       0.00427887      
0.03125         0.203125        0.00468284      0.0046802       
0.03125         0.21875         0.00509538      0.00509254      
0.03125         0.234375        0.00551988      0.00551685      
0.03125         0.25            0.00595732      0.00595409      
0.03125         0.265625        0.00640869      0.00640526      
0.03125         0.28125         0.006875        0.00687138      
0.03125         0.296875        0.00735731      0.0073535       
0.03125         0.3125          0.00785668      0.00785269      
0.03125         0.328125        0.00837422      0.00837005      
0.03125         0.34375         0.00891106      0.00890671      
0.03125         0.359375        0.00946834      0.00946382      
0.03125         0.375           0.0100473       0.0100426       
0.03125         0.390625        0.010649        0.0106442       
0.03125         0.40625         0.0112749       0.0112699       
0.03125         0.421875        0.0119261       0.011921        
0.03125         0.4375          0.0126039       0.0125987       
0.03125         0.453125        0.0133097       0.0133044       
0.03125         0.46875         0.0140448       0.0140394       
0.03125         0.484375        0.0148106       0.0148051       
0.03125         0.5             0.0156083       0.0156027       
0.03125         0.515625        0.0164394       0.0164338       
0.03125         0.53125         0.0173053       0.0172997       
