#                               L = 8
#================================================================
#x               y               Numerical       Analytical      
#================================================================
0               0               0               0               
0               0.125           0               0               
0               0.25            0               0               
0               0.375           0               0               
0               0.5             0               0               
0               0.625           0               0               
0               0.75            0               0               
0               0.875           0               0               
0               1               0               0               
0.125           0               0               0               
0.125           0.125           0.0112065       0.0108011       
0.125           0.25            0.0240684       0.0232619       
0.125           0.375           0.0404335       0.0392593       
0.125           0.5             0.0625          0.0610755       
0.125           0.625           0.0928385       0.0914435       
0.125           0.75            0.13402         0.133095        
0.125           0.875           0.187323        0.187115        
0.125           1               0.25            0.25            
0.25            0               0               0               
0.25            0.125           0.0207577       0.0199792       
0.25            0.25            0.0446334       0.0430579       
0.25            0.375           0.0751657       0.0727863       
0.25            0.5             0.116728        0.113632        
0.25            0.625           0.174834        0.171384        
0.25            0.75            0.255918        0.253027        
0.25            0.875           0.365272        0.364207        
0.25            1               0.5             0.5             
0.375           0               0               0               
0.375           0.125           0.0271909       0.026132        
0.375           0.25            0.0585418       0.0563572       
0.375           0.375           0.0988679       0.095426        
0.375           0.5             0.154412        0.14953         
0.375           0.625           0.233853        0.227397        
0.375           0.75            0.349546        0.341955        
0.375           0.875           0.517846        0.512142        
0.375           1               0.75            0.750001        
0.5             0               0               0               
0.5             0.125           0.0294642       0.0282976       
0.5             0.25            0.0634751       0.0610455       
0.5             0.375           0.107352        0.103437        
0.5             0.5             0.168199        0.162343        
0.5             0.625           0.256618        0.247808        
0.5             0.75            0.390569        0.376188        
0.5             0.875           0.606565        0.579863        
0.5             1               1               0.997974        
0.625           0               0               0               
0.625           0.125           0.0271909       0.026132        
0.625           0.25            0.0585418       0.0563572       
0.625           0.375           0.0988679       0.095426        
0.625           0.5             0.154412        0.14953         
0.625           0.625           0.233853        0.227397        
0.625           0.75            0.349546        0.341955        
0.625           0.875           0.517846        0.512142        
0.625           1               0.75            0.750001        
0.75            0               0               0               
0.75            0.125           0.0207577       0.0199792       
0.75            0.25            0.0446334       0.0430579       
0.75            0.375           0.0751657       0.0727863       
0.75            0.5             0.116728        0.113632        
0.75            0.625           0.174834        0.171384        
0.75            0.75            0.255918        0.253027        
0.75            0.875           0.365272        0.364207        
0.75            1               0.5             0.5             
0.875           0               0               0               
0.875           0.125           0.0112065       0.0108011       
0.875           0.25            0.0240684       0.0232619       
0.875           0.375           0.0404335       0.0392593       
0.875           0.5             0.0625          0.0610755       
0.875           0.625           0.0928385       0.0914435       
0.875           0.75            0.13402         0.133095        
0.875           0.875           0.187323        0.187115        
0.875           1               0.25            0.25            
1               0               0               0               
1               0.125           0               3.455e-18       
1               0.25            0               7.43881e-18     
1               0.375           0               1.25463e-17     
1               0.5             0               1.94909e-17     
1               0.625           0               2.91003e-17     
1               0.75            0               4.21366e-17     
1               0.875           0               5.83301e-17     
1               1               0               4.52989e-19     
