#                               L = 4
#================================================================
#x               y               Numerical       Analytical      
#================================================================
0               0               0               0               
0               0.25            0               0               
0               0.5             0               0               
0               0.75            0               0               
0               1               0               0               
0.25            0               0               0               
0.25            0.25            0.0491071       0.0430579       
0.25            0.5             0.125           0.113632        
0.25            0.75            0.263393        0.253027        
0.25            1               0.5             0.5             
0.5             0               0               0               
0.5             0.25            0.0714286       0.0610455       
0.5             0.5             0.1875          0.162343        
0.5             0.75            0.428571        0.376188        
0.5             1               1               0.997974        
0.75            0               0               0               
0.75            0.25            0.0491071       0.0430579       
0.75            0.5             0.125           0.113632        
0.75            0.75            0.263393        0.253027        
0.75            1               0.5             0.5             
1               0               0               0               
1               0.25            0               7.43881e-18     
1               0.5             0               1.94909e-17     
1               0.75            0               4.21366e-17     
1               1               0               4.52989e-19     
