#                               L = 32
#================================================================
#x               y               Numerical       Analytical      
#================================================================
0               0               0               0               

0               0.03125         0               0               

0               0.0625          0               0               

0               0.09375         0               0               

0               0.125           0               0               

0               0.15625         0               0               

0               0.1875          0               0               

0               0.21875         0               0               

0               0.25            0               0               

0               0.28125         0               0               

0               0.3125          0               0               

0               0.34375         0               0               

0               0.375           0               0               

0               0.40625         0               0               

0               0.4375          0               0               

0               0.46875         0               0               

0               0.5             0               0               

0               0.53125         0               0               

0               0.5625          0               0               

0               0.59375         0               0               

0               0.625           0               0               

0               0.65625         0               0               

0               0.6875          0               0               

0               0.71875         0               0               

0               0.75            0               0               

0               0.78125         0               0               

0               0.8125          0               0               

0               0.84375         0               0               

0               0.875           0               0               

0               0.90625         0               0               

0               0.9375          0               0               

0               0.96875         0               0               

0               1               0               0               

0.03125         0               0               0               

0.03125         0.03125         0.000676847     0.000675222     

0.03125         0.0625          0.00136011      0.00135686      

0.03125         0.09375         0.00205626      0.00205138      

0.03125         0.125           0.00277187      0.00276536      

0.03125         0.15625         0.00351367      0.00350554      

0.03125         0.1875          0.0042886       0.00427887      

0.03125         0.21875         0.00510388      0.00509254      

0.03125         0.25            0.00596701      0.00595409      

0.03125         0.28125         0.00688585      0.00687138      

0.03125         0.3125          0.00786865      0.00785269      

0.03125         0.34375         0.00892409      0.00890671      

0.03125         0.375           0.0100613       0.0100426       

0.03125         0.40625         0.0112898       0.0112699       

0.03125         0.4375          0.0126196       0.0125987       

0.03125         0.46875         0.0140611       0.0140394       

0.03125         0.5             0.015625        0.0156027       

0.03125         0.53125         0.0173221       0.0172997       

0.03125         0.5625          0.0191634       0.0191411       

0.03125         0.59375         0.0211594       0.0211377       

0.03125         0.625           0.0233201       0.0232995       

0.03125         0.65625         0.0256547       0.0256355       

0.03125         0.6875          0.0281704       0.0281533       

0.03125         0.71875         0.0308727       0.030858        

0.03125         0.75            0.0337639       0.0337518       

0.03125         0.78125         0.0368427       0.0368334       

0.03125         0.8125          0.0401034       0.0400968       

0.03125         0.84375         0.0435352       0.0435311       

0.03125         0.875           0.0471219       0.0471198       

0.03125         0.90625         0.0508415       0.0508407       

0.03125         0.9375          0.0546664       0.0546663       

0.03125         0.96875         0.0585644       0.0585645       

0.03125         1               0.0625          0.0624928       

0.0625          0               0               0               

0.0625          0.03125         0.00134728      0.00134404      

0.0625          0.0625          0.00270733      0.00270085      

0.0625          0.09375         0.00409306      0.00408333      

0.0625          0.125           0.00551754      0.00550457      

0.0625          0.15625         0.0069942       0.00697799      

