#====================================================
#   t = 1.4     rho_bar = 0.7     Viscosity = 0
#====================================================
#x              rho
#====================================================
0               0.725902
0.001001        0.725667
0.002002        0.725433
0.003003        0.725199
0.004004        0.724966
0.00500501      0.724733
0.00600601      0.724501
0.00700701      0.724269
0.00800801      0.724038
0.00900901      0.723808
0.01001         0.723578
0.011011        0.723348
0.012012        0.723119
0.013013        0.722891
0.014014        0.722664
0.015015        0.722437
0.016016        0.72221
0.017017        0.721985
0.018018        0.72176
0.019019        0.721535
0.02002         0.721311
0.021021        0.721088
0.022022        0.720866
0.023023        0.720644
0.024024        0.720423
0.025025        0.720202
0.026026        0.719983
0.027027        0.719764
0.028028        0.719545
0.029029        0.719328
0.03003         0.719111
0.031031        0.718894
0.032032        0.718679
0.033033        0.718464
0.034034        0.71825
0.035035        0.718037
0.036036        0.717825
0.037037        0.717613
0.038038        0.717402
0.039039        0.717192
0.04004         0.716983
0.041041        0.716775
0.042042        0.716567
0.043043        0.716361
0.044044        0.716155
0.045045        0.71595
0.046046        0.715746
0.047047        0.715542
0.048048        0.71534
0.049049        0.715139
0.0500501       0.714938
0.0510511       0.714739
0.0520521       0.71454
0.0530531       0.714342
0.0540541       0.714145
0.0550551       0.71395
0.0560561       0.713755
0.0570571       0.713561
0.0580581       0.713368
0.0590591       0.713176
0.0600601       0.712986
0.0610611       0.712796
0.0620621       0.712607
0.0630631       0.712419
0.0640641       0.712233
0.0650651       0.712047
0.0660661       0.711863
0.0670671       0.71168
0.0680681       0.711498
0.0690691       0.711317
0.0700701       0.711137
0.0710711       0.710958
0.0720721       0.71078
0.0730731       0.710604
0.0740741       0.710429
0.0750751       0.710255
0.0760761       0.710082
0.0770771       0.709911
0.0780781       0.709741
0.0790791       0.709572
0.0800801       0.709404
0.0810811       0.709238
0.0820821       0.709073
0.0830831       0.708909
0.0840841       0.708746
0.0850851       0.708585
0.0860861       0.708426
0.0870871       0.708267
0.0880881       0.70811
0.0890891       0.707955
0.0900901       0.707801
0.0910911       0.707648
0.0920921       0.707497
0.0930931       0.707347
0.0940941       0.707199
0.0950951       0.707052
0.0960961       0.706907
0.0970971       0.706763
0.0980981       0.706621
0.0990991       0.70648
0.1001          0.706341
0.101101        0.706203
0.102102        0.706067
0.103103        0.705932
0.104104        0.705799
0.105105        0.705668
0.106106        0.705538
0.107107        0.70541
0.108108        0.705284
0.109109        0.705159
0.11011         0.705036
0.111111        0.704914
0.112112        0.704795
0.113113        0.704676
0.114114        0.70456
0.115115        0.704445
0.116116        0.704332
0.117117        0.704221
0.118118        0.704111
0.119119        0.704003
0.12012         0.703897
0.121121        0.703793
0.122122        0.70369
0.123123        0.703589
0.124124        0.70349
0.125125        0.703392
0.126126        0.703297
0.127127        0.703203
0.128128        0.70311
0.129129        0.70302
0.13013         0.702931
0.131131        0.702844
0.132132        0.702759
0.133133        0.702675
0.134134        0.702593
0.135135        0.702513
0.136136        0.702435
0.137137        0.702358
0.138138        0.702283
0.139139        0.702209
0.14014         0.702138
0.141141        0.702068
0.142142        0.701999
0.143143        0.701932
0.144144        0.701867
0.145145        0.701804
0.146146        0.701742
0.147147        0.701681
0.148148        0.701623
0.149149        0.701565
0.15015         0.70151
0.151151        0.701455
0.152152        0.701403
0.153153        0.701351
0.154154        0.701302
0.155155        0.701253
0.156156        0.701206
0.157157        0.701161
0.158158        0.701116
0.159159        0.701074
0.16016         0.701032
0.161161        0.700992
0.162162        0.700953
0.163163        0.700915
0.164164        0.700878
0.165165        0.700843
0.166166        0.700809
0.167167        0.700776
0.168168        0.700744
0.169169        0.700713
0.17017         0.700683
0.171171        0.700655
0.172172        0.700627
0.173173        0.7006
0.174174        0.700574
0.175175        0.70055
0.176176        0.700526
0.177177        0.700503
0.178178        0.700481
0.179179        0.700459
0.18018         0.700439
0.181181        0.700419
0.182182        0.7004
0.183183        0.700382
0.184184        0.700365
0.185185        0.700348
0.186186        0.700332
0.187187        0.700316
0.188188        0.700302
0.189189        0.700287
0.19019         0.700274
0.191191        0.700261
0.192192        0.700248
0.193193        0.700236
0.194194        0.700225
0.195195        0.700214
0.196196        0.700204
0.197197        0.700194
0.198198        0.700184
0.199199        0.700175
0.2002          0.700166
0.201201        0.700158
0.202202        0.70015
0.203203        0.700143
0.204204        0.700135
0.205205        0.700128
0.206206        0.700122
0.207207        0.700116
0.208208        0.70011
0.209209        0.700104
0.21021         0.700099
0.211211        0.700093
0.212212        0.700089
0.213213        0.700084
0.214214        0.700079
0.215215        0.700075
0.216216        0.700071
0.217217        0.700067
0.218218        0.700064
0.219219        0.70006
0.22022         0.700057
0.221221        0.700054
0.222222        0.700051
0.223223        0.700048
0.224224        0.700046
0.225225        0.700043
0.226226        0.700041
0.227227        0.700038
0.228228        0.700036
0.229229        0.700034
0.23023         0.700032
0.231231        0.70003
0.232232        0.700029
0.233233        0.700027
0.234234        0.700026
0.235235        0.700024
0.236236        0.700023
0.237237        0.700021
0.238238        0.70002
0.239239        0.700019
0.24024         0.700018
0.241241        0.700017
0.242242        0.700016
0.243243        0.700015
0.244244        0.700014
0.245245        0.700013
0.246246        0.700012
0.247247        0.700012
0.248248        0.700011
0.249249        0.70001
0.25025         0.70001
0.251251        0.700009
0.252252        0.700009
0.253253        0.700008
0.254254        0.700008
0.255255        0.700007
0.256256        0.700007
0.257257        0.700006
0.258258        0.700006
0.259259        0.700005
0.26026         0.700005
0.261261        0.700005
0.262262        0.700005
0.263263        0.700004
0.264264        0.700004
0.265265        0.700004
0.266266        0.700003
0.267267        0.700003
0.268268        0.700003
0.269269        0.700003
0.27027         0.700003
0.271271        0.700003
0.272272        0.700002
0.273273        0.700002
0.274274        0.700002
0.275275        0.700002
0.276276        0.700002
0.277277        0.700002
0.278278        0.700002
0.279279        0.700001
0.28028         0.700001
0.281281        0.700001
0.282282        0.700001
0.283283        0.700001
0.284284        0.700001
0.285285        0.700001
0.286286        0.700001
0.287287        0.700001
0.288288        0.700001
0.289289        0.700001
0.29029         0.700001
0.291291        0.700001
0.292292        0.700001
0.293293        0.700001
0.294294        0.700001
0.295295        0.7
0.296296        0.7
0.297297        0.7
0.298298        0.7
0.299299        0.7
0.3003          0.7
0.301301        0.7
0.302302        0.7
0.303303        0.7
0.304304        0.7
0.305305        0.7
0.306306        0.7
0.307307        0.7
0.308308        0.7
0.309309        0.7
0.31031         0.7
0.311311        0.7
0.312312        0.7
0.313313        0.7
0.314314        0.7
0.315315        0.7
0.316316        0.7
0.317317        0.7
0.318318        0.7
0.319319        0.7
0.32032         0.7
0.321321        0.7
0.322322        0.7
0.323323        0.7
0.324324        0.7
0.325325        0.7
0.326326        0.7
0.327327        0.7
0.328328        0.7
0.329329        0.7
0.33033         0.7
